0,SansText,ok this is epic.,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.25
0,GasterBlaster,1,0,0,259,166,90,0.333,0.25
0,GasterBlaster,1,640,480,449,366,180,0.333,0.25
0,GasterBlaster,1,640,480,379,446,270,0.333,0.25
0,SUB,Loop,$Loop,1,,,,,
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,0,0,73,$Y,0,0.56666,0.1
0.9,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.56666,0.1
0.9,JMPNZ,8,$Loop,,,,,,
